Program_Type,Alliance,Record,Year,Service_Type,Service_Population,Count_Type,Educator_Type,Ethnicity,Count
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Educators,Duplicated,Faculty and administrators at 2-year IHEs,Hispanic or Latino/a/x,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Educators,Duplicated,Faculty and administrators at 2-year IHEs,Not Collected,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Educators,Duplicated,Faculty and administrators at 2-year IHEs,Not Hispanic or Latino/a/x,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Educators,Duplicated,Faculty and administrators at 2-year IHEs,Not Provided,0
NSF INCLUDES,CAHSI,1,2019-2020,Direct ,Educators,Duplicated,Faculty and administrators at 2-year IHEs,Hispanic or Latino/a/x,0
NSF INCLUDES,CAHSI,1,2019-2020,Direct ,Educators,Duplicated,Faculty and administrators at 2-year IHEs,Not Collected,16
NSF INCLUDES,CAHSI,1,2019-2020,Direct ,Educators,Duplicated,Faculty and administrators at 2-year IHEs,Not Hispanic or Latino/a/x,0
NSF INCLUDES,CAHSI,1,2019-2020,Direct ,Educators,Duplicated,Faculty and administrators at 2-year IHEs,Not Provided,0
NSF INCLUDES,First2,1,2019-2020,Direct ,Educators,Duplicated,Faculty and administrators at 2-year IHEs,Hispanic or Latino/a/x,0
NSF INCLUDES,First2,1,2019-2020,Direct ,Educators,Duplicated,Faculty and administrators at 2-year IHEs,Not Collected,0
NSF INCLUDES,First2,1,2019-2020,Direct ,Educators,Duplicated,Faculty and administrators at 2-year IHEs,Not Hispanic or Latino/a/x,0
NSF INCLUDES,First2,1,2019-2020,Direct ,Educators,Duplicated,Faculty and administrators at 2-year IHEs,Not Provided,0
NSF INCLUDES,IGEN,1,2019-2020,Direct ,Educators,Duplicated,Faculty and administrators at 2-year IHEs,Hispanic or Latino/a/x,0
NSF INCLUDES,IGEN,1,2019-2020,Direct ,Educators,Duplicated,Faculty and administrators at 2-year IHEs,Not Collected,0
