Program_Type,Alliance,Record,Year,Service_Type,Service_Population,Count_Type,Educator_Type,Gender,Count
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Educators ,Duplicated,"IHE faculty (cannot distinguish between faculty and administrators at associate colleges, doctoral-granting institutions, masters colleges and universities, or baccalaureate colleges)",Female,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Educators ,Duplicated,"IHE faculty (cannot distinguish between faculty and administrators at associate colleges, doctoral-granting institutions, masters colleges and universities, or baccalaureate colleges)",Male,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Educators ,Duplicated,"IHE faculty (cannot distinguish between faculty and administrators at associate colleges, doctoral-granting institutions, masters colleges and universities, or baccalaureate colleges)",Non binary,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Educators ,Duplicated,"IHE faculty (cannot distinguish between faculty and administrators at associate colleges, doctoral-granting institutions, masters colleges and universities, or baccalaureate colleges)",Not collected,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Educators ,Duplicated,"IHE faculty (cannot distinguish between faculty and administrators at associate colleges, doctoral-granting institutions, masters colleges and universities, or baccalaureate colleges)",Not provided,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Educators ,Duplicated,"IHE faculty (cannot distinguish between faculty and administrators at associate colleges, doctoral-granting institutions, masters colleges and universities, or baccalaureate colleges)",Other,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Educators ,Duplicated,Faculty and administrators at 2-year IHEs,Female,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Educators ,Duplicated,Faculty and administrators at 2-year IHEs,Male,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Educators ,Duplicated,Faculty and administrators at 2-year IHEs,Non binary,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Educators ,Duplicated,Faculty and administrators at 2-year IHEs,Not collected,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Educators ,Duplicated,Faculty and administrators at 2-year IHEs,Not provided,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Educators ,Duplicated,Faculty and administrators at 2-year IHEs,Other,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Educators ,Duplicated,"Faculty, postdocs, graduate students, and administrators at 4-year IHEs",Female,470
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Educators ,Duplicated,"Faculty, postdocs, graduate students, and administrators at 4-year IHEs",Male,201
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Educators ,Duplicated,"Faculty, postdocs, graduate students, and administrators at 4-year IHEs",Non binary,3
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Educators ,Duplicated,"Faculty, postdocs, graduate students, and administrators at 4-year IHEs",Not collected,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Educators ,Duplicated,"Faculty, postdocs, graduate students, and administrators at 4-year IHEs",Not provided,574
