Program_Type,Alliance,Record,Year,Service_Type,Service_Population,Count_Type,Student_Type,Gender,Count
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Student,Duplicated,Elementary school students,Female,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Student,Duplicated,Elementary school students,Male,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Student,Duplicated,Elementary school students,Non binary,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Student,Duplicated,Elementary school students,Not collected,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Student,Duplicated,Elementary school students,Not provided,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Student,Duplicated,Elementary school students,Other,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Student,Duplicated,Graduate students at 4-year IHEs,Female,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Student,Duplicated,Graduate students at 4-year IHEs,Male,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Student,Duplicated,Graduate students at 4-year IHEs,Non binary,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Student,Duplicated,Graduate students at 4-year IHEs,Not collected,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Student,Duplicated,Graduate students at 4-year IHEs,Not provided,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Student,Duplicated,Graduate students at 4-year IHEs,Other,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Student,Duplicated,High school students,Female,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Student,Duplicated,High school students,Male,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Student,Duplicated,High school students,Non binary,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Student,Duplicated,High school students,Not collected,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Student,Duplicated,High school students,Not provided,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Student,Duplicated,High school students,Other,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Student,Duplicated,PreK-20 students (cannot distinguish K-20 levels),Female,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Student,Duplicated,PreK-20 students (cannot distinguish K-20 levels),Male,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Student,Duplicated,PreK-20 students (cannot distinguish K-20 levels),Non binary,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Student,Duplicated,PreK-20 students (cannot distinguish K-20 levels),Not collected,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Student,Duplicated,PreK-20 students (cannot distinguish K-20 levels),Not provided,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Student,Duplicated,PreK-20 students (cannot distinguish K-20 levels),Other,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Student,Duplicated,Middle school students,Female,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Student,Duplicated,Middle school students,Male,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Student,Duplicated,Middle school students,Non binary,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Student,Duplicated,Middle school students,Not collected,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Student,Duplicated,Middle school students,Not provided,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Student,Duplicated,Middle school students,Other,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Student,Duplicated,Other PreK–12 students (cannot distinguish K-12 levels),Female,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Student,Duplicated,Other PreK–12 students (cannot distinguish K-12 levels),Male,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Student,Duplicated,Other PreK–12 students (cannot distinguish K-12 levels),Non binary,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Student,Duplicated,Other PreK–12 students (cannot distinguish K-12 levels),Not collected,0
