recordid,Q1_1,ProType,FundingYear,Q1_4,Q1_6,Q2_A_1,Q2_A_2,Q2_A_3,Q2_A_4,Q2_A_5,Q2_A_6,Q2_A_7,Q2_A_8,Q2_A_9,Q3_A_1,Q3_A_2,Q3_A_3,Q3_A_4,Q3_A_5,Q3_A_6,Q3_A_7,Q3_A_8,Q3_A_9,Q4_A_1,Q4_A_2,Q4_A_3,Q4_A_4,Q4_A_5,Q4_A_6,Q5_A_1,Q5_A_2,Q5_A_3,Q5_A_4,Q5_A_5,Q5_A_6
637570387248208983,First2,Alliance currently funded by NSF INCLUDES,3,Project team member,Lead Organization,4,4,4,4,4,4,4,4,4,3,4,4,1,2,4,2,3,4,4,4,4,4,4,4,,,,,,
637570387246334377,First2,Alliance currently funded by NSF INCLUDES,3,Evaluator,Evaluation organization,4,3,3,6,4,3,4,4,2,4,4,4,4,4,4,3,4,3,4,4,4,4,3,4,,,,,,
637570387246803029,First2,Alliance currently funded by NSF INCLUDES,3,Project team member,Partner organization,4,4,4,4,4,4,3,3,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
637570387248521832,First2,Alliance currently funded by NSF INCLUDES,3,Project team member,Respondent participates as an individual and does not belong to an organization affiliated with the project,2,3,2,1,1,1,3,3,7,3,4,4,6,4,4,6,6,4,3,2,3,4,4,4,,,,,,
637570387247584048,First2,Alliance currently funded by NSF INCLUDES,3,Project leadership (other than PI or Co-Pl),Backbone organization,4,3,4,3,2,3,3,3,1,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,,,,,,
637570387246333885,First2,Alliance currently funded by NSF INCLUDES,3,Project team member,Lead Organization,4,3,3,4,3,4,3,2,1,4,4,3,3,4,4,4,3,3,3,4,4,4,4,4,,,,,,
637571148775180830,First2,Alliance currently funded by NSF INCLUDES,3,Principal Investigator/Co-Principal Investigator,Lead Organization,3,4,3,3,3,4,3,3,2,4,4,3,4,4,4,4,4,3,4,4,4,4,3,4,,,,,,
637570387247740685,First2,Alliance currently funded by NSF INCLUDES,3,Principal Investigator/Co-Principal Investigator,Lead Organization,3,3,2,3,2,2,4,2,2,4,4,3,4,4,3,3,4,2,4,3,3,3,4,4,,,,,,
637570387248365720,First2,Alliance currently funded by NSF INCLUDES,3,Project leadership (other than PI or Co-Pl),Backbone organization,3,3,3,3,3,2,3,2,1,4,3,3,4,4,4,3,4,4,4,4,3,4,4,2,,,,,,
637570387245084244,First2,Alliance currently funded by NSF INCLUDES,3,Project leadership (other than PI or Co-Pl),Respondent participates as an individual and does not belong to an organization affiliated with the project,3,2,3,2,2,3,2,2,1,4,3,3,3,3,3,4,4,3,2,2,2,3,4,4,,,,,,
637570387247427693,First2,Alliance currently funded by NSF INCLUDES,3,Project leadership (other than PI or Co-Pl),Backbone organization,3,2,3,4,2,2,2,4,2,4,4,3,3,4,3,3,4,3,3,3,2,3,4,3,,,,,,
637571148774555675,First2,Alliance currently funded by NSF INCLUDES,3,Project team member,Lead Organization,4,3,3,3,2,3,3,2,7,4,4,4,3,4,4,4,4,3,4,4,4,4,3,3,,,,,,
637570387247740924,First2,Alliance currently funded by NSF INCLUDES,3,Project team member,Lead Organization,3,3,2,3,3,3,3,3,7,3,4,3,3,4,4,2,3,6,4,4,3,3,2,2,,,,,,
637570387246021457,First2,Alliance currently funded by NSF INCLUDES,3,Project team member,Partner organization,3,3,4,3,4,4,4,3,3,6,4,4,3,3,3,4,4,3,3,3,4,4,3,4,3,4,4,4,4,3
637570424343773011,First2,Alliance currently funded by NSF INCLUDES,3,Project team member,Partner organization,3,3,3,3,3,3,3,2,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,,,,,,
637570387247115297,First2,Alliance currently funded by NSF INCLUDES,3,Project team member,Lead Organization,4,4,3,4,4,4,4,2,2,4,4,4,3,4,4,4,4,6,3,4,4,3,3,3,,,,,,
637570387246490943,First2,Alliance currently funded by NSF INCLUDES,3,Project team member,Lead Organization,3,2,3,2,2,3,2,2,2,3,2,3,3,4,3,3,3,1,3,3,3,3,2,2,,,,,,
637571148774243342,First2,Alliance currently funded by NSF INCLUDES,3,Project team member,Partner organization,4,2,2,3,3,3,3,2,7,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,2,2,3,2,3,2
637571148773618459,First2,Alliance currently funded by NSF INCLUDES,3,Project team member,Lead Organization,3,3,3,3,2,2,3,2,2,3,3,4,4,4,4,3,3,2,3,3,2,6,4,4,,,,,,
637570387246177911,First2,Alliance currently funded by NSF INCLUDES,3,Principal Investigator/Co-Principal Investigator,Lead Organization,3,3,3,4,3,3,3,4,2,4,4,3,4,4,4,3,4,2,4,3,3,3,3,4,,,,,,
637570387246646413,First2,Alliance currently funded by NSF INCLUDES,3,Project team member,Partner organization,2,1,2,1,1,2,1,2,2,3,3,3,6,4,3,4,3,2,3,3,3,4,2,3,4,4,3,4,2,4
637570387827156865,IGEN,Alliance currently funded by NSF INCLUDES,3,Project team member,Partner organization,4,4,3,4,4,4,4,2,2,4,4,4,3,,4,3,3,3,4,4,4,4,4,3,4,4,4,4,4,4
637571148013102134,IGEN,Alliance currently funded by NSF INCLUDES,3,Principal Investigator/Co-Principal Investigator,Partner organization,6,4,1,3,3,2,4,1,5,4,2,1,1,1,3,3,1,2,4,3,3,2,3,1,4,4,4,2,3,4
637570387824656525,IGEN,Alliance currently funded by NSF INCLUDES,3,Project team member,Backbone organization,2,4,2,7,2,1,2,1,2,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,,,,,,
637571148013258402,IGEN,Alliance currently funded by NSF INCLUDES,3,Project team member,Partner organization,2,3,2,3,3,3,3,1,1,3,3,2,3,3,3,4,2,2,4,3,3,3,4,2,4,4,4,4,3,3
637571148012789256,IGEN,Alliance currently funded by NSF INCLUDES,3,Evaluator,Evaluation organization,3,3,3,4,4,4,3,1,2,4,3,3,2,2,2,2,4,1,3,4,3,2,4,1,,,,,,
637570387827625521,IGEN,Alliance currently funded by NSF INCLUDES,3,Evaluator,Evaluation organization,3,3,2,4,4,3,4,1,1,4,3,3,3,3,3,2,3,1,3,3,2,3,4,2,,,,,,
637570387827312618,IGEN,Alliance currently funded by NSF INCLUDES,3,Project team member,Partner organization,4,4,3,4,4,3,3,4,2,4,4,3,3,3,3,3,3,3,3,2,2,2,4,3,4,4,4,4,4,4
637570387827157038,IGEN,Alliance currently funded by NSF INCLUDES,3,Project leadership (other than PI or Co-Pl),Partner organization,2,2,7,4,7,7,3,2,7,4,4,4,3,3,4,3,2,2,4,4,3,3,3,3,2,4,3,1,3,3
637570387826844566,IGEN,Alliance currently funded by NSF INCLUDES,3,Project leadership (other than PI or Co-Pl),Partner organization,3,2,2,3,3,2,2,2,7,3,2,2,2,2,2,3,2,3,3,3,2,2,3,2,4,4,5,2,3,6
637571148013258202,IGEN,Alliance currently funded by NSF INCLUDES,3,Project team member,Partner organization,4,5,5,5,2,7,2,1,7,1,1,1,1,1,2,1,2,6,3,2,1,3,6,1,4,3,4,3,2,3
637570431830627674,SEAS,Alliance currently funded by NSF INCLUDES,2,Project team member,Lead Organization,2,3,3,3,2,3,3,2,3,3,3,3,3,4,4,2,2,4,6,6,3,3,4,2,,,,,,
637570431829221279,SEAS,Alliance currently funded by NSF INCLUDES,2,Project team member,Backbone organization,3,2,2,3,3,2,2,1,2,4,4,4,3,4,4,3,3,3,4,3,3,3,2,3,,,,,,
637570431828126923,SEAS,Alliance currently funded by NSF INCLUDES,2,Principal Investigator/Co-Principal Investigator,Lead Organization,3,4,3,3,3,3,,2,7,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,,,,,,
637570431828596214,SEAS,Alliance currently funded by NSF INCLUDES,2,Principal Investigator/Co-Principal Investigator,Lead Organization,4,3,3,4,4,4,4,3,2,3,4,4,3,4,4,4,4,3,4,3,3,4,4,2,,,,,,
637570431830783425,SEAS,Alliance currently funded by NSF INCLUDES,2,Project team member,Lead Organization,4,4,3,3,3,2,3,4,7,2,4,4,3,4,4,3,3,4,4,4,3,3,4,3,,,,,,
637570431828752387,SEAS,Alliance currently funded by NSF INCLUDES,2,Principal Investigator/Co-Principal Investigator,Lead Organization,4,4,3,3,3,2,3,1,1,4,3,3,3,4,4,4,3,2,4,3,4,4,4,4,,,,,,
637571146969339264,SEAS,Alliance currently funded by NSF INCLUDES,2,Researcher,Lead Organization,4,2,1,2,7,2,2,7,1,1,2,3,1,3,3,2,1,1,2,3,2,1,2,2,,,,,,
637570431829064675,SEAS,Alliance currently funded by NSF INCLUDES,2,Principal Investigator/Co-Principal Investigator,Lead Organization,3,5,2,2,2,2,2,1,1,3,4,3,3,3,4,4,3,3,4,3,4,3,4,3,,,,,,
637570431829064797,SEAS,Alliance currently funded by NSF INCLUDES,2,Project team member,Backbone organization,7,7,2,4,4,2,3,1,1,2,4,4,4,4,4,4,3,4,4,3,2,3,2,1,,,,,,
637570431828440023,SEAS,Alliance currently funded by NSF INCLUDES,2,Principal Investigator/Co-Principal Investigator,Lead Organization,2,4,4,4,3,3,4,,4,3,4,4,3,4,4,3,3,3,3,3,4,4,3,4,,,,,,
637571146969651797,SEAS,Alliance currently funded by NSF INCLUDES,2,Principal Investigator/Co-Principal Investigator,Lead Organization,2,3,2,5,2,2,2,1,2,3,3,3,3,4,3,4,4,2,2,2,2,2,2,4,,,,,,
637570431829533622,SEAS,Alliance currently funded by NSF INCLUDES,2,Researcher,Lead Organization,3,3,3,3,4,3,4,7,7,6,4,3,3,3,4,4,4,4,6,4,3,3,3,4,,,,,,
637570431828596012,SEAS,Alliance currently funded by NSF INCLUDES,2,Principal Investigator/Co-Principal Investigator,Lead Organization,4,4,3,4,3,2,3,1,1,3,4,4,6,4,3,4,4,6,3,6,6,6,3,4,,,,,,
637570431828908383,SEAS,Alliance currently funded by NSF INCLUDES,2,Principal Investigator/Co-Principal Investigator,Lead Organization,3,4,3,3,4,3,2,2,2,4,3,4,3,4,4,4,4,3,4,3,4,3,4,4,,,,,,
637571146969183280,SEAS,Alliance currently funded by NSF INCLUDES,2,Principal Investigator/Co-Principal Investigator,Lead Organization,4,4,3,3,4,4,3,4,2,4,3,3,3,3,4,4,4,3,3,4,4,3,4,2,,,,,,
637571146968870880,SEAS,Alliance currently funded by NSF INCLUDES,2,Project leadership (other than PI or Co-Pl),Evaluation organization,4,4,2,4,2,3,3,2,1,2,4,4,3,4,4,4,2,3,4,3,3,3,6,2,,,,,,
